OverallQual;OverallCond;RoofMatl;roofDummy;MasVnrArea;ExterQual;extDummy;BsmtExposure;BsmtFinSF1;stFlrSF;ndFlrSF;KitchenQual;SalePrice;LotArea;Condition2;Neighborhood
7;5;CompShg;0;196;Gd;0;No;706;856;854;Gd;208500;8450;Norm;CollgCr
6;8;CompShg;0;0;TA;1;Gd;978;1262;0;TA;181500;9600;Norm;Veenker
7;5;CompShg;0;162;Gd;0;Mn;486;920;866;Gd;223500;11250;Norm;CollgCr
7;5;CompShg;0;0;TA;1;No;216;961;756;Gd;140000;9550;Norm;Crawfor
8;5;CompShg;0;350;Gd;0;Av;655;1145;1053;Gd;250000;14260;Norm;NoRidge
5;5;CompShg;0;0;TA;1;No;732;796;566;TA;143000;14115;Norm;Mitchel
8;5;CompShg;0;186;Gd;0;Av;1369;1694;0;Gd;307000;10084;Norm;Somerst
7;6;CompShg;0;240;TA;1;Mn;859;1107;983;TA;200000;10382;Norm;NWAmes
7;5;CompShg;0;0;TA;1;No;0;1022;752;TA;129900;6120;Norm;OldTown
5;6;CompShg;0;0;TA;1;No;851;1077;0;TA;118000;7420;Artery;BrkSide
5;5;CompShg;0;0;TA;1;No;906;1040;0;TA;129500;11200;Norm;Sawyer
9;5;CompShg;0;286;Ex;2;No;998;1182;1142;Ex;345000;11924;Norm;NridgHt
5;6;CompShg;0;0;TA;1;No;737;912;0;TA;144000;12968;Norm;Sawyer
7;5;CompShg;0;306;Gd;0;Av;0;1494;0;Gd;279500;10652;Norm;CollgCr
6;5;CompShg;0;212;TA;1;No;733;1253;0;TA;157000;10920;Norm;NAmes
7;8;CompShg;0;0;TA;1;No;0;854;0;TA;132000;6120;Norm;BrkSide
6;7;CompShg;0;180;TA;1;No;578;1004;0;TA;149000;11241;Norm;NAmes
4;5;CompShg;0;0;TA;1;NA;0;1296;0;TA;90000;10791;Norm;Sawyer
5;5;CompShg;0;0;TA;1;No;646;1114;0;Gd;159000;13695;Norm;SawyerW
5;6;CompShg;0;0;TA;1;No;504;1339;0;TA;139000;7560;Norm;NAmes
8;5;CompShg;0;380;Gd;0;Av;0;1158;1218;Gd;325300;14215;Norm;NridgHt
7;7;CompShg;0;0;TA;1;No;0;1108;0;Gd;139400;7449;Norm;IDOTRR
8;5;CompShg;0;281;Gd;0;No;0;1795;0;Gd;230000;9742;Norm;CollgCr
5;7;CompShg;0;0;TA;1;No;840;1060;0;TA;129900;4224;Norm;MeadowV
5;8;CompShg;0;0;TA;1;Mn;188;1060;0;Gd;154000;8246;Norm;Sawyer
8;5;CompShg;0;640;Gd;0;No;0;1600;0;Gd;256300;14230;Norm;NridgHt
5;7;CompShg;0;0;TA;1;Mn;234;900;0;Gd;134800;7200;Norm;NAmes
8;5;CompShg;0;200;Gd;0;No;1218;1704;0;Gd;306000;11478;Norm;NridgHt
5;6;CompShg;0;0;TA;1;Gd;1277;1600;0;TA;207500;16321;Norm;NAmes
4;6;CompShg;0;0;TA;1;No;0;520;0;Fa;68500;6324;RRNn;BrkSide
4;4;CompShg;0;0;TA;1;No;0;649;668;TA;40000;8500;Norm;IDOTRR
5;6;CompShg;0;0;TA;1;No;0;1228;0;Gd;149350;8544;Norm;Sawyer
8;5;CompShg;0;0;Gd;0;Av;0;1234;0;Gd;179900;11049;Norm;CollgCr
5;5;CompShg;0;0;TA;1;No;1018;1700;0;Gd;165500;10552;Norm;NAmes
9;5;CompShg;0;246;Ex;2;No;1153;1561;0;Ex;277500;7313;Norm;NridgHt
8;5;CompShg;0;132;Gd;0;Av;0;1132;1320;Gd;309000;13418;Norm;NridgHt
5;5;CompShg;0;0;TA;1;No;0;1097;0;TA;145000;10859;Norm;CollgCr
5;6;CompShg;0;650;TA;1;No;1213;1297;0;TA;153000;8532;Norm;NAmes
5;7;CompShg;0;0;TA;1;No;731;1057;0;Gd;109000;7922;Norm;NAmes
4;5;CompShg;0;0;TA;1;NA;0;1152;0;Fa;82000;6040;Norm;Edwards
6;5;CompShg;0;101;TA;1;No;643;1324;0;TA;160000;8658;Norm;NAmes
5;6;CompShg;0;0;TA;1;Gd;967;1328;0;TA;170000;16905;Norm;Timber
5;7;CompShg;0;0;TA;1;Av;747;884;0;Gd;144000;9180;Norm;SawyerW
5;6;CompShg;0;0;TA;1;Av;280;938;0;TA;130250;9200;Norm;CollgCr
5;6;CompShg;0;0;TA;1;No;179;1150;0;TA;141000;7945;Norm;NAmes
9;5;CompShg;0;412;Ex;2;No;456;1752;0;Ex;319900;7658;Norm;NridgHt
7;5;CompShg;0;0;Gd;0;No;1351;1518;631;Gd;239686;12822;Norm;Mitchel
8;5;CompShg;0;0;Gd;0;Av;24;1656;0;Gd;249700;11096;Norm;Somerst
4;5;CompShg;0;0;TA;1;No;0;736;716;TA;113000;4456;Norm;OldTown
5;7;CompShg;0;0;TA;1;No;763;955;0;TA;127000;7742;Norm;Sawyer
6;6;CompShg;0;0;TA;1;Av;182;794;676;TA;177000;13869;Norm;Gilbert
6;6;CompShg;0;0;TA;1;No;0;816;0;TA;114500;6240;Norm;BrkSide
5;5;CompShg;0;0;Fa;3;Gd;104;816;0;TA;110000;8472;Norm;IDOTRR
9;5;WdShngl;1;0;Gd;0;Gd;1810;1842;0;Gd;385000;50271;Norm;Veenker
5;5;CompShg;0;0;TA;1;No;384;1360;0;TA;130000;7134;Norm;NAmes
6;5;CompShg;0;272;TA;1;No;490;1425;0;TA;180500;10175;Norm;NAmes
8;5;CompShg;0;456;Gd;0;No;649;983;756;Gd;172500;2645;Norm;Somerst
7;5;CompShg;0;0;Gd;0;No;0;860;860;Gd;196500;11645;Norm;CollgCr
10;5;CompShg;0;1031;Ex;2;Gd;0;1426;1519;Gd;438780;13682;Norm;StoneBr
5;7;CompShg;0;0;TA;1;Av;632;780;0;TA;124900;7200;Norm;CollgCr
6;5;CompShg;0;0;TA;1;No;941;1158;0;Gd;158000;13072;Norm;SawyerW
5;7;CompShg;0;0;TA;1;No;0;581;530;Fa;101000;7200;Norm;IDOTRR
8;5;CompShg;0;178;Gd;0;Mn;24;1370;0;Gd;202500;6442;Norm;NridgHt
7;6;CompShg;0;0;TA;1;No;0;902;808;TA;140000;10300;Feedr;OldTown
7;5;CompShg;0;573;TA;1;No;739;1057;977;Gd;219500;9375;Norm;CollgCr
8;5;CompShg;0;344;Gd;0;Av;0;1143;1330;Gd;317000;9591;Norm;NridgHt
7;5;CompShg;0;287;TA;1;Gd;912;2207;0;TA;180000;19900;Norm;NAmes
7;5;CompShg;0;167;Gd;0;Av;1013;1479;0;Gd;226000;10665;Norm;CollgCr
4;6;CompShg;0;0;TA;1;No;0;747;0;TA;80000;4608;Norm;OldTown
7;4;CompShg;0;0;Gd;0;No;603;1304;983;TA;225000;15593;Norm;ClearCr
7;6;CompShg;0;1115;TA;1;Gd;1880;2223;0;TA;244000;13651;Norm;NAmes
4;6;CompShg;0;0;TA;1;No;565;845;0;TA;129500;7599;Norm;Mitchel
7;5;CompShg;0;40;TA;1;No;0;885;833;TA;185000;10141;Norm;Gilbert
5;7;CompShg;0;104;TA;1;No;320;1086;0;TA;144900;10200;Norm;NAmes
3;6;CompShg;0;0;Gd;0;No;0;840;765;TA;107400;5790;Norm;OldTown
4;5;CompShg;0;0;TA;1;Gd;462;526;462;TA;91000;1596;Norm;MeadowV
4;7;CompShg;0;0;TA;1;No;228;952;0;TA;135750;8475;Norm;NAmes
5;5;CompShg;0;0;TA;1;No;336;1072;213;TA;127000;8635;Norm;BrkSide
4;5;CompShg;0;0;TA;1;No;0;1768;0;TA;136500;10778;Norm;Sawyer
5;6;CompShg;0;0;TA;1;No;0;682;548;TA;110000;10440;Norm;OldTown
6;6;CompShg;0;576;TA;1;No;448;1182;960;Gd;193500;13000;Norm;NAmes
6;5;CompShg;0;443;TA;1;No;1201;1337;0;TA;153500;4500;Norm;Mitchel
8;5;CompShg;0;468;TA;1;No;33;1563;0;Gd;245000;10206;Norm;Somerst
5;5;CompShg;0;66;TA;1;No;0;1065;0;TA;126500;8892;Norm;NAmes
7;5;CompShg;0;22;TA;1;No;0;804;670;TA;168500;8530;Norm;Gilbert
8;5;CompShg;0;284;Gd;0;No;0;1301;1116;Gd;260000;16059;Norm;NoRidge
6;5;CompShg;0;0;Gd;0;Av;0;684;876;Gd;174000;11911;Norm;Gilbert
6;5;CompShg;0;76;Gd;0;Av;0;612;612;Gd;164500;3951;Norm;Somerst
3;2;CompShg;0;0;Fa;3;No;0;1013;0;Fa;85000;8470;Feedr;IDOTRR
4;5;CompShg;0;0;TA;1;No;588;990;0;TA;123600;8070;Norm;CollgCr
4;5;CompShg;0;0;TA;1;NA;0;1040;0;TA;109900;7200;Norm;NAmes
5;3;CompShg;0;203;TA;1;No;600;1235;0;TA;98600;8500;Norm;NAmes
5;7;CompShg;0;0;TA;1;No;713;964;0;TA;163500;13360;Norm;Crawfor
6;6;CompShg;0;0;TA;1;Mn;1046;1260;1031;TA;133900;7200;Norm;OldTown
6;5;CompShg;0;0;TA;1;No;648;905;881;Gd;204750;9337;Norm;CollgCr
6;8;CompShg;0;68;Ex;2;No;310;680;790;TA;185000;9765;Norm;Gilbert
7;5;CompShg;0;183;Gd;0;Av;1162;1588;0;Gd;214000;10264;Norm;CollgCr
4;5;CompShg;0;48;TA;1;No;520;960;0;TA;94750;10921;Norm;Edwards
5;5;CompShg;0;0;TA;1;No;108;835;0;TA;83000;10625;Norm;Edwards
4;5;CompShg;0;0;TA;1;No;569;1225;0;TA;128950;9320;Norm;NAmes
6;7;CompShg;0;28;TA;1;Mn;1200;1610;0;Gd;205000;10603;Norm;NWAmes
6;5;CompShg;0;336;Gd;0;No;0;977;755;Gd;178000;9206;Norm;SawyerW
5;5;CompShg;0;0;TA;1;NA;0;1535;0;TA;118964;7018;Norm;SawyerW
7;5;CompShg;0;0;TA;1;No;0;1226;0;Gd;198900;10402;Norm;CollgCr
7;4;CompShg;0;600;TA;1;No;224;1226;592;TA;169500;7758;Norm;IDOTRR
8;5;CompShg;0;768;Gd;0;No;0;1053;939;Gd;250000;9375;Norm;Somerst
4;7;CompShg;0;0;TA;1;No;0;1047;0;TA;100000;10800;Norm;OldTown
5;5;CompShg;0;0;TA;1;No;104;789;0;TA;115000;6000;Norm;OldTown
5;7;CompShg;0;0;TA;1;No;0;997;520;Fa;115000;8500;Norm;IDOTRR
6;6;CompShg;0;480;TA;1;No;705;1844;0;TA;190000;11751;Norm;NWAmes
6;4;CompShg;0;0;TA;1;No;444;1216;639;TA;136900;9525;Norm;Edwards
7;5;CompShg;0;0;TA;1;No;250;774;656;TA;180000;7750;Norm;Gilbert
7;5;CompShg;0;220;Gd;0;Av;984;1282;1414;Ex;383970;9965;Norm;CollgCr
6;5;CompShg;0;184;TA;1;Mn;35;2259;0;Gd;217000;21000;Norm;Crawfor
6;8;CompShg;0;0;TA;1;No;774;1436;884;Gd;259500;7259;Norm;Crawfor
6;5;CompShg;0;1129;TA;1;No;419;729;729;TA;176000;3230;Norm;Somerst
5;5;CompShg;0;116;TA;1;No;170;1092;0;TA;139000;11616;Norm;Sawyer
5;5;CompShg;0;0;TA;1;No;0;1125;0;TA;155000;8536;Norm;Edwards
7;5;CompShg;0;0;TA;1;Mn;1470;1699;1523;Gd;320000;12376;Norm;SawyerW
6;5;CompShg;0;0;Gd;0;No;0;728;728;Gd;163990;8461;Norm;CollgCr
6;5;Metal;2;0;TA;1;Gd;938;988;0;TA;180000;21453;Norm;ClearCr
4;5;CompShg;0;0;TA;1;No;0;772;351;TA;100000;6060;Norm;IDOTRR
6;7;CompShg;0;135;TA;1;No;570;1080;0;TA;136000;9464;Norm;NAmes
6;5;CompShg;0;0;Gd;0;No;300;1199;0;Gd;153900;7892;Norm;SawyerW
6;5;CompShg;0;0;TA;1;No;0;1586;0;TA;181000;17043;Norm;NWAmes
6;8;CompShg;0;0;TA;1;Av;490;520;0;TA;84500;6780;Norm;IDOTRR
6;5;CompShg;0;0;TA;1;No;120;958;0;TA;128000;4928;Norm;NPkVill
5;7;CompShg;0;0;TA;1;No;116;840;0;TA;87000;4388;Norm;OldTown
6;5;CompShg;0;266;TA;1;No;512;660;688;TA;155000;7590;Norm;NAmes
5;7;CompShg;0;85;TA;1;No;567;1053;0;Ex;150000;8973;Norm;NAmes
7;6;CompShg;0;309;TA;1;No;445;1216;941;Gd;226000;14200;Norm;NAmes
6;5;CompShg;0;40;Gd;0;No;695;1022;1032;Gd;244000;12224;Norm;Gilbert
5;6;CompShg;0;0;TA;1;No;405;1327;0;Gd;150750;7388;Norm;NAmes
8;5;CompShg;0;136;Gd;0;No;1005;1296;0;Gd;220000;6853;Norm;Timber
5;6;CompShg;0;0;TA;1;No;570;1721;0;TA;180000;10335;Norm;Sawyer
7;6;CompShg;0;288;TA;1;No;0;1682;0;TA;174000;10400;Norm;NWAmes
5;5;CompShg;0;196;TA;1;No;695;1214;0;TA;143000;10355;Norm;NAmes
7;5;CompShg;0;70;TA;1;No;0;1959;0;TA;171000;11070;Norm;Mitchel
8;5;CompShg;0;320;Gd;0;Mn;668;1004;848;Gd;230000;9066;Norm;CollgCr
6;5;CompShg;0;0;TA;1;No;821;928;836;Gd;231500;15426;Norm;CollgCr
4;5;CompShg;0;0;TA;1;No;432;864;0;TA;115000;10500;Norm;NAmes
7;5;CompShg;0;0;Gd;0;Av;1300;1734;0;Gd;260000;11645;Norm;CollgCr
5;4;CompShg;0;0;TA;1;No;507;910;475;TA;166000;8520;Norm;NAmes
7;5;CompShg;0;183;Gd;0;Gd;679;1501;0;Gd;204000;10335;Norm;CollgCr
5;5;CompShg;0;336;TA;1;No;1332;1728;0;TA;125000;9100;Norm;Sawyer
6;5;CompShg;0;50;Gd;0;No;0;970;739;Gd;130000;2522;Norm;Edwards
5;7;CompShg;0;0;TA;1;No;209;875;0;TA;105000;6120;Norm;BrkSide
7;5;CompShg;0;180;Gd;0;No;0;884;1151;Gd;222500;9505;Norm;Gilbert
7;5;CompShg;0;120;TA;1;No;680;1080;0;Gd;141000;7500;Norm;SawyerW
5;4;CompShg;0;0;TA;1;No;0;896;448;TA;115000;6240;Norm;BrkSide
5;6;CompShg;0;0;TA;1;Av;716;969;0;TA;122000;10356;Norm;CollgCr
8;5;CompShg;0;436;Gd;0;Gd;1400;1710;0;Gd;372402;13891;Norm;NridgHt
6;5;CompShg;0;252;TA;1;No;416;1097;896;TA;190000;14803;Norm;NWAmes
6;7;CompShg;0;0;TA;1;Gd;429;1252;0;TA;235000;13500;Norm;ClearCr
6;5;CompShg;0;0;TA;1;No;0;1200;0;TA;125000;11340;Norm;OldTown
6;5;CompShg;0;0;TA;1;No;0;572;524;TA;79000;9600;Norm;Edwards
5;7;CompShg;0;0;TA;1;NA;0;1040;0;TA;109500;7200;Norm;NAmes
8;5;CompShg;0;84;Gd;0;No;0;774;1194;Ex;269500;12003;Norm;Timber
7;5;CompShg;0;0;Gd;0;No;222;991;956;Gd;254900;12552;Norm;Somerst
7;5;CompShg;0;456;Gd;0;Mn;57;1392;1070;Gd;320000;19378;Norm;Gilbert
6;6;CompShg;0;0;TA;1;No;660;1232;0;TA;162500;11120;Norm;Veenker
9;5;CompShg;0;664;Gd;0;Av;1016;1572;1096;Ex;412500;13688;Norm;NridgHt
7;5;CompShg;0;226;Gd;0;Mn;1201;1541;0;Gd;220000;12182;Norm;NridgHt
4;6;CompShg;0;0;TA;1;No;0;882;0;TA;103200;5500;Norm;OldTown
6;7;CompShg;0;0;TA;1;Mn;370;1149;467;Gd;152000;5400;Norm;OldTown
5;7;CompShg;0;0;TA;1;No;351;808;547;TA;127500;10106;Norm;Edwards
5;5;CompShg;0;0;Gd;0;No;379;1867;0;TA;190000;10708;Norm;ClearCr
8;5;CompShg;0;300;Gd;0;No;1288;1610;551;Ex;325624;10562;Norm;NridgHt
7;5;CompShg;0;0;Gd;0;No;0;840;880;Gd;183500;8244;Norm;Gilbert
8;6;WdShake;3;653;Gd;0;No;0;1707;0;TA;228000;16669;Norm;Timber
5;6;CompShg;0;0;TA;1;No;360;854;0;TA;128500;12358;Norm;OldTown
6;5;CompShg;0;112;TA;1;Gd;639;1656;0;TA;215000;31770;Norm;NAmes
7;7;CompShg;0;0;Gd;0;No;495;1064;703;Gd;239000;5306;Norm;StoneBr
6;5;CompShg;0;491;TA;1;No;288;1362;0;TA;163000;10197;Norm;NAmes
6;5;CompShg;0;132;TA;1;No;1398;1651;0;TA;184000;12416;Norm;Timber
6;7;CompShg;0;0;TA;1;Av;477;2158;0;Gd;243000;12615;Norm;Edwards
6;5;CompShg;0;268;Gd;0;No;831;1164;896;TA;211000;10029;Norm;ClearCr
5;5;CompShg;0;0;Gd;0;No;57;1252;668;Gd;172500;13650;Norm;Sawyer
9;5;CompShg;0;748;Ex;2;No;1904;2234;0;Ex;501837;17423;Norm;StoneBr
5;6;CompShg;0;0;Gd;0;No;0;968;0;TA;100000;8520;Norm;OldTown
6;5;CompShg;0;456;Gd;0;No;436;769;756;Gd;177000;2117;Norm;Somerst
7;6;CompShg;0;0;TA;1;No;352;901;901;TA;200100;7588;Norm;Crawfor
5;6;CompShg;0;98;TA;1;NA;0;1340;0;TA;120000;9060;Norm;Edwards
7;5;CompShg;0;0;TA;1;No;0;1362;720;Gd;200000;11426;Norm;OldTown
5;8;CompShg;0;0;TA;1;No;0;936;316;TA;127000;7438;Feedr;BrkSide
10;9;WdShngl;1;0;Gd;0;Mn;0;1518;1518;Ex;475000;22950;Norm;OldTown
7;5;CompShg;0;0;TA;1;Av;611;1217;0;Gd;173000;9947;Norm;Mitchel
5;7;CompShg;0;0;TA;1;No;0;808;704;TA;135000;10410;Norm;OldTown
5;5;CompShg;0;275;TA;1;Av;1086;1224;0;TA;153337;7018;Norm;SawyerW
8;5;CompShg;0;0;Gd;0;Av;1153;1593;0;Ex;286000;4923;Norm;StoneBr
8;8;CompShg;0;0;Gd;0;No;297;1549;1178;Gd;315000;10570;Norm;Crawfor
7;9;CompShg;0;138;TA;1;No;626;725;754;Gd;184000;7472;Norm;NAmes
7;5;CompShg;0;0;Gd;0;Av;560;1431;0;Gd;192000;9017;Norm;CollgCr
7;5;CompShg;0;50;Gd;0;No;0;970;739;Gd;130000;2522;Norm;Edwards
5;7;CompShg;0;0;TA;1;Av;390;864;0;TA;127000;7180;Norm;CollgCr
6;6;CompShg;0;0;TA;1;No;566;855;601;TA;148500;2280;Norm;NPkVill
7;5;CompShg;0;205;Ex;2;No;1126;1726;0;Ex;311872;9416;Norm;Somerst
8;4;CompShg;0;0;Gd;0;No;1036;1360;1360;Gd;235000;25419;Norm;NAmes
6;6;CompShg;0;0;TA;1;No;0;929;929;TA;104000;5520;Norm;OldTown
8;5;CompShg;0;262;Gd;0;Av;1088;1713;0;Ex;274900;9591;Norm;NridgHt
4;5;CompShg;0;0;TA;1;No;0;1121;0;TA;140000;8546;Norm;Edwards
6;6;CompShg;0;0;TA;1;No;641;1279;0;TA;171500;10125;Norm;Mitchel
6;6;CompShg;0;0;TA;1;No;617;865;445;TA;112000;7000;Norm;OldTown
6;5;CompShg;0;205;Gd;0;Av;662;848;0;Gd;149000;4438;Norm;CollgCr
5;7;CompShg;0;0;TA;1;No;312;720;564;TA;110000;3500;Norm;OldTown
7;5;CompShg;0;0;TA;1;No;0;1442;0;TA;180500;11851;Norm;Gilbert
5;5;CompShg;0;0;TA;1;No;0;1696;0;TA;143900;13673;Norm;Sawyer
4;5;CompShg;0;0;TA;1;No;419;1100;0;TA;141000;12493;Norm;NAmes
7;5;CompShg;0;128;Gd;0;Gd;1065;1180;882;TA;277000;14364;Norm;SawyerW
6;7;CompShg;0;260;TA;1;No;787;1092;0;TA;145000;8250;Norm;NAmes
5;6;CompShg;0;0;TA;1;No;468;864;0;TA;98000;5604;Norm;Edwards
6;5;CompShg;0;0;TA;1;Mn;36;1212;0;Gd;186000;10420;Norm;Edwards
7;5;CompShg;0;0;TA;1;No;822;932;920;Gd;252678;8640;Norm;Somerst
5;5;CompShg;0;0;TA;1;No;716;990;0;TA;156000;13568;Norm;CollgCr
6;7;CompShg;0;153;TA;1;No;378;689;703;TA;161750;10900;Norm;CollgCr
5;6;CompShg;0;64;TA;1;No;360;1236;0;Gd;134450;10011;Norm;NAmes
7;5;CompShg;0;266;Gd;0;Mn;946;1436;0;Gd;210000;8450;Norm;CollgCr
4;4;CompShg;0;0;TA;1;No;0;810;518;TA;107000;9906;Norm;OldTown
7;9;CompShg;0;312;Gd;0;No;341;1137;817;Gd;311500;15660;Norm;Crawfor
7;5;CompShg;0;16;Gd;0;Av;16;1248;0;Gd;167240;3010;Norm;Blmngtn
7;5;CompShg;0;0;Gd;0;Mn;0;1498;0;Gd;204900;8990;Norm;CollgCr
6;5;CompShg;0;0;Gd;0;No;0;1010;1257;Gd;200000;8068;Norm;Gilbert
6;6;CompShg;0;0;TA;1;No;550;811;741;TA;179900;11475;Norm;NWAmes
4;6;CompShg;0;0;TA;1;No;524;864;0;TA;97000;10500;Norm;NAmes
10;5;CompShg;0;922;Ex;2;Gd;56;2392;0;Ex;386250;13472;Norm;NridgHt
5;5;CompShg;0;142;TA;1;No;0;630;672;TA;112000;1680;Norm;BrDale
7;5;CompShg;0;290;Gd;0;No;565;1214;1306;Gd;290000;9950;Norm;NoRidge
6;6;CompShg;0;127;TA;1;No;321;483;504;TA;106000;1869;Norm;BrDale
5;5;CompShg;0;0;TA;1;No;842;912;0;TA;125000;8521;Norm;Sawyer
7;5;CompShg;0;16;Gd;0;Av;16;1555;0;Gd;192500;3182;Norm;Blmngtn
6;6;CompShg;0;220;TA;1;No;0;1194;0;TA;148000;8760;Norm;NAmes
8;5;CompShg;0;506;Gd;0;No;689;1490;1304;Ex;403000;15138;Norm;NoRidge
6;5;CompShg;0;297;TA;1;No;0;483;504;TA;94500;1680;Norm;BrDale
5;6;CompShg;0;0;TA;1;Av;182;894;0;TA;128200;10650;Norm;CollgCr
6;5;CompShg;0;NA;Gd;0;No;625;860;1100;Gd;216500;7851;Norm;Gilbert
6;3;CompShg;0;604;TA;1;No;358;483;504;TA;89500;1680;Norm;BrDale
7;5;CompShg;0;98;Gd;0;Av;24;1414;0;Gd;185500;8773;Norm;CollgCr
7;7;CompShg;0;0;Gd;0;No;402;1014;730;Gd;194500;9453;Norm;SawyerW
8;5;CompShg;0;254;Ex;2;No;0;1694;0;Gd;318000;12030;Norm;NridgHt
6;4;CompShg;0;0;TA;1;No;94;798;689;TA;113000;8741;Norm;Edwards
